name,level,branch,summary,strength,agility,endurance,intelligence,education,charisma,will,essence,initiative,skills,ranks,paths,lateral,mastery,signature,equipment,income,description
Fence,2,Criminal,Black Market Dealer / Goods Launderer,,,,+2,+2,+1,,,,Bribe 1; ScanLoc 2; Admin 2; Streetwise 2; Instinct 2; Pistols 1; Psychology 2; Persuade 2; Perception 2,Lang+1; Cont*Crimin+2,,,,,,,"The Fence is a dealer in stolen goods, serving as the critical link between thieves and buyers by assessing value, moving merchandise, and laundering the proceeds. Evolving from Crooks or Grifters, they possess enhanced Intelligence, Education, and Charisma, enabling them to appraise items, negotiate prices, and maintain a network of buyers. Their skillset includes bribery, scanning, administration, streetwise, instinct, and psychology, giving them the tools to evaluate goods, detect undercover agents, and manage a complex web of transactions. They are also competent with pistols, providing a measure of self-defense in a dangerous trade. The Fence is the economy of the underworld, turning stolen goods into clean money."
Getaway Driver,2,Criminal,Escape Specialist / Wheelman,+1,+2,+1,+1,,,+1,,+2,Intimidate 1; Melee 1; Perception 2; Pistols 1; Streetwise 2; Athletics 1; Tactics 2; ScanLoc 1; Integration 0; Honour 1; Navigation 0,Lang+1; ContCrimin+2; Drive,,,,,,,"The Getaway Driver is the person who ensures that the crew gets out alive, specializing in high-speed escapes and evasive driving. Evolving from Carjackers, they possess strong Agility and Initiative, along with enough Willpower to stay calm under fire. Their skillset blends navigation, perception, streetwise, and tactics with basic combat skills, enabling them to plan escape routes, read traffic, and improvise when plans go wrong. They are also skilled in scanning and intimidation, allowing them to spot roadblocks and clear paths when necessary. The Getaway Driver is the pulse of any heist, turning chaos into motion at the critical moment."
Killer,2,Criminal,Contract Killer / Hired Assassin,+2,+2,+2,+2,,,,,+2,Frame 2; Pistols 2; Rifles 2; Melee 2; Disguise 2; Streetwise 2; Instinct 2; Psychology 2; Stealth 2; Intimidate 1; Persuade 2; Bypass 2; Shadow 2; Veteran 2,Kn:City,,,,,,,"The Killer is a professional murderer who accepts contracts to eliminate targets, operating with a blend of combat skill, stealth, and psychological insight. Evolving from Home Invaders or Thugs, they possess strong, well-rounded physical stats with notable Initiative, enabling swift and decisive action. Their skillset is a dangerous mix of firearms proficiency, disguise, stealth, shadowing, bypass, framing, and psychology, allowing them to stalk targets, gain access, execute the kill, and disappear without a trace. They are also skilled in persuasion and instinct, enabling them to read situations and adapt on the fly. The Killer is the precursor to the Hitman, honing their craft toward cold professionalism."
Made Man,2,Criminal,Inducted Member / Organized Crime Family,,,,+2,+2,+2,+2,,,Admin 1; Intimidate 2; Interrogate 2; Perception 2; Persuade 2; Psychology 2; Streetwise 2; Gambling 2; Honour 2; Frame 2; Bribe 2,Lang+1; Cont:*Crim+2,Mob Boss; Fixer; Crew Chief; Hitman,Face; Smuggler; Killer,,,,,"The Made Man is a formally inducted member of an organized crime family, having earned full membership through loyalty, service, and initiation rites. Evolving from Crooks, Grifters, or Gangers, they possess enhanced Intelligence, Education, Charisma, and Willpower, reflecting the social intelligence and mental resilience needed to thrive in organized crime. Their skillset is a sophisticated blend of intimidation, interrogation, perception, persuasion, psychology, streetwise, gambling, honor, and bribery, making them versatile operatives who can handle diplomacy, enforcement, and financial matters. They are also skilled in framing, enabling them to manipulate situations to their advantage. The Made Man has arrived in the upper echelon of criminal society, with paths to becoming a Mob Boss, Fixer, Crew Chief, or Hitman."
Sgt at Arms,2,Criminal,Gang Enforcer / Security Chief,+2,+2,+2,,,,+2,,+2,Admin 1; Intimidate 2; Interrogate 2; Perception 1; Persuade 1; Psychology 2; Streetwise 1; Pistols 2; Frame 1; Bribe 2; Honour 2; Melee 2,Lang+1; Cont:*Crim+2,Gang Leader; Bodyguard; Hitman; Crew Chief,Made Man; Enforcer; Killer; Shot Caller,,,,,"The Sgt-at-Arms is the enforcer and security chief of a criminal organization, responsible for maintaining discipline, protecting leadership, and intimidating rivals. Evolving from Gangers, Inmates, or Thugs, they possess strong physical stats across Strength, Agility, Endurance, and Initiative, along with high Willpower, making them formidable in direct confrontation. Their skillset blends administration, intimidation, interrogation, perception, persuasion, psychology, streetwise, pistols, framing, bribery, honor, and melee, enabling them to manage internal affairs and project power externally. They are the muscle and the brain of enforcement, with paths leading to gang leadership, bodyguard work, hitman roles, or crew chief positions."
Shot Caller,2,Criminal,Gang Lieutenant / Local Boss,+2,+2,+2,,,,+1,,+2,Admin 1; Intimidate 2; Interrogate 2; Perception 1; Honour 2; Psychology 2; Gambling 2; Instinct 1; Melee 2; Thief 1; Bribe 1,Lang+1; Cont:*Crim+2,Yard Boss,Enforcer; Killer; Smuggler,,,,,"The Shot Caller is a mid-level leader in a criminal organization, responsible for managing operations, settling disputes, and directing lower-level members. Evolving from Gangers or Inmates, they possess strong physical stats across Strength, Agility, Endurance, and Initiative, along with high Willpower, enabling them to lead by example and enforce their authority. Their skillset blends administration, intimidation, interrogation, perception, honor, psychology, gambling, instinct, melee, theft, and bribery, providing the tools to manage a crew and negotiate with rivals. Their connections to the criminal underworld and language skills help them build alliances. The Shot Caller is the rising star of the underworld, with paths leading to Yard Boss or lateral moves into enforcement and killing."
Smuggler,2,Criminal,Contraband Transporter / Border Crosser,+1,+2,+1,+2,+2,+2,,,,Admin 2; Psychology 2; Streetwise 1; Tactics 1; Bribe 2; Navigation 2; ScanLoc 1; Perception 1; Persuade 2,Lang+2; Cont:*Crim+2; Transport:+2,Arms Dealer; Fixer; Johnson,Fence; Face; Getaway Driver,,,,,"The Smuggler is a specialist in moving illicit goods across borders, avoiding detection by authorities and delivering cargo to its destination. Evolving from Carjackers, Drifters, Grifters, or Inmates, they possess enhanced Agility, Intelligence, Education, and Charisma, enabling them to plan routes, negotiate deals, and talk their way through checkpoints. Their skillset focuses on administration, psychology, streetwise, tactics, bribery, navigation, scanning, perception, and persuasion, providing the tools to outsmart customs and manage logistics. Their connections to the criminal underworld and transportation networks make them invaluable to the black market. The Smuggler is the artery of the underworld, with paths leading to arms dealing, fixing, or job coordination."
Archeologist,2,Intellectual,Field Researcher / Ancient Site Explorer,+1,,,+2,+2,,,,,Admin 2; Perception 2; Bribe 2; ScanLoc 2; Lore 2; Ritual 2; Streetwise 1,Hst:+3; Transportx2; Lng:Latin; Lng:+2; Cont:Academ,Tomb Raider; Occultist,Historian,,,,,"The Archeologist is a seasoned explorer of ancient sites, combining scholarly knowledge with practical fieldwork skills. Evolving from Archeo students, they possess enhanced Intelligence and Education, along with a modest Strength boost that aids in physical excavation. Their skillset expands to include bribery, streetwise, and advanced scanning, reflecting the realities of navigating both academic and underground channels to fund and conduct expeditions. Their linguistic proficiencies and academic connections remain strong, while their knowledge of history and ritual deepens. The Archeologist bridges the gap between the classroom and the tomb, ready to pursue the path of the Tomb Raider or the Occultist."
Businessman,2,Intellectual,Entrepreneur / Deal Maker,,,,+2,+2,+1,,,,Admin 2; Perception 2; Bribe 2; Persuade 2; Psychology 2; Gambling 1; Intimidate 1,Cont:Govt,Executive; Fixer,Corpo; Lawyer,,,,,"The Businessman is a seasoned entrepreneur who has moved beyond the basics of commerce into active deal-making and market manipulation. Evolving from the Business career, they possess enhanced Intelligence, Education, and Charisma, allowing them to negotiate favorable terms and spot profitable opportunities. Their skillset includes administration, perception, bribery, persuasion, and psychology, giving them the tools to navigate both legitimate business and the gray areas of corporate dealings. They are also competent in intimidation and gambling, reflecting the competitive and risk-taking nature of their profession. The Businessman is poised to advance to the executive suite or pivot into the world of fixing as a Fixer."
Corpo,2,Intellectual,Corporate Employee / Middle Management,,,,+2,+2,+1,,,,Admin 1; Perception 2; Persuade 2; Psychology 2; Gambling 1; Intimidate 1,Cont:Corpo,Executive; Fixer,Businessman; Lawyer,,,,,"The Corpo is a mid-level corporate employee who has climbed the initial ranks of the business world, navigating office politics and corporate machinations. Evolving from Wage Slaves or Business students, they possess enhanced Intelligence, Education, and Charisma, allowing them to read people and situations effectively. Their skillset centers on administration, perception, persuasion, and psychology, enabling them to manage teams, negotiate deals, and climb the corporate ladder. They also have some skill in gambling and intimidation, reflecting the competitive nature of corporate culture. The Corpo is on track for the executive suite or can pivot into fixing or law, having built a versatile foundation of corporate savvy."
Doctor,2,Intellectual,Medical Professional / General Practitioner,,,,+2,+2,+1,,,,Admin 1; First-Aid 2; ScanLoc 2; Psychology 1; Treatment 2; Focus 1; Pathology 1; Surgery 2; Psychiatry 1; Hypnosis 1,Sci:Biology,Surgeon; Coroner,Ripperdoc; Corpo; Lawyer; Scientist,,,,,"The Doctor is a licensed medical professional with comprehensive training in diagnosis, treatment, and surgery. Evolving from Medical students or Guides, they possess enhanced Intelligence, Education, and Charisma, allowing them to communicate with patients and collaborate with colleagues effectively. Their skillset is broad and medically focused: first aid, treatment, surgery, pathology, psychiatry, and hypnosis, giving them the tools to address both physical and mental ailments. They are also skilled in administration, scanning, and psychology, enabling them to manage clinical settings and understand patient behavior. The Doctor stands at a crossroads, able to specialize as a Surgeon or Coroner, or pivot into ripperdoc work, corporate medicine, law, or scientific research."
Drone Operator,2,Intellectual,Drone Operator / Remote Systems Technician,,+2,,+2,+2,,,,+2,Coding 1; Electrical 1; Mechanical 1; Electronics 1; Integration 2; Perception 2; Pistols 1; Navigation 2; Ordinance 2; Streetwise 1; ScanLoc 1,Kn:City; Trans+3; Cont*Crimin+2,Rigger; Cyberneticist,Engineer; Ripperdoc,,,,,"The Drone Operator is a technical specialist who operates unmanned vehicles and drones for surveillance, combat, or logistical purposes. Evolving from Engineers, Mechanics, or Techys, they possess enhanced Agility, Intelligence, Education, and Initiative, allowing them to process complex spatial data and react quickly to changing conditions. Their skillset spans coding, electrical engineering, electronics, integration, navigation, and ordinance, enabling them to build, maintain, and deploy drone fleets effectively. They are also skilled in perception and scanning, essential for remote reconnaissance operations. The Drone Operator is a modern operator, bridging the gap between technician and warrior, with paths leading to rigging or cybernetics."
Engineer,2,Intellectual,Technical Specialist / Systems Designer,,,,+2,+2,,,,,Admin 2; ScanLoc 2; Electrical 2; Electronics 2; Mechanical 2; Perception 2; Coding 2; Cybernetics 1,,,Drone Operator; Scientist,,,,,"The Engineer is a versatile technical professional who designs, builds, and maintains complex mechanical and electronic systems. Evolving from Engineering students or Techys, they possess enhanced Intelligence and Education, giving them the analytical tools to tackle complex technical challenges. Their skillset is a comprehensive blend of administration, scanning, electrical, electronics, mechanical, coding, and cybernetics, making them the go-to specialist for everything from infrastructure to hardware modification. They are also skilled in perception, allowing them to diagnose issues and identify vulnerabilities. The Engineer is the backbone of any technical operation, capable of advancing into drone operations or scientific research."
Hacker,2,Intellectual,Systems Intruder / Data Thief,,,,+2,+2,,,,+2,Admin 2; ScanLoc 2; Electrical 1; Electronics 1; Integration 2; Coding 2; Streetwise 1; Perception 1; SysVulns 2; Frame 1; Pistols 1,ContCrimin+2,,,,,,,"The Hacker is a skilled intruder who breaches computer systems and networks to steal data, plant malware, or gain unauthorized access. Evolving from Techys or Engineering students, they possess enhanced Intelligence, Education, and Initiative, giving them the processing speed and quick thinking essential for digital infiltration. Their skillset centers on coding, integration, and system vulnerabilities, supplemented by electrical and electronics knowledge for hardware-level exploits. They are also skilled in scanning, administration, streetwise, and framing, enabling them to cover their tracks and monetize their hauls. The Hacker is the digital skeleton key, with connections to the criminal underworld providing clients for their services."
Historian,2,Intellectual,Scholar of the Past / Archival Researcher,,,,+2,+2,+1,,,,Admin 2; Perception 1; Ritual 1; Lore 1,Lng:+2; Kn:Hist+3; Cont:Channel; Lng:Latin; Cont:Academ; ContLegal+2,Occultist; Tomb Raider,Archeologist; Businessman,,,,,"The Historian is a dedicated scholar who studies the past through documents, artifacts, and oral traditions, seeking to understand how history shapes the present. Evolving from History or Archeo students, they possess enhanced Intelligence, Education, and Charisma, allowing them to research effectively and present their findings persuasively. Their skillset centers on administration, perception, ritual, and lore, reflecting the blend of academic methodology and occult curiosity that defines historical research. Their extensive language proficiencies, including Latin, and deep historical knowledge give them access to sources unavailable to most. The Historian stands at a crossroads, able to pursue the adventurous path of the Tomb Raider or the mystical route of the Occultist."
Lawyer,2,Intellectual,Legal Practitioner / Advocate,,,,+2,+2,+2,,,,Admin 2; Perception 1; Bribe 1; Frame 1; Persuade 2; Intimidate 1; Psychology 2; Law 2; Interrogate 2,LngLatin; Cont:Academ; ContLegal+2,Attorney,Businessman; Corpo,,,,,"The Lawyer is a licensed legal professional who advises clients, argues cases, and navigates the judicial system. Evolving from Law students, they possess enhanced Intelligence, Education, and Charisma, enabling them to construct arguments and sway judges and juries. Their skillset expands to include administration, perception, bribery, frame-building, persuasion, intimidation, psychology, law, and interrogation, giving them a comprehensive toolkit for both courtroom and behind-the-scenes maneuvering. Their academic and legal connections, along with Latin proficiency, anchor them in the legal establishment. The Lawyer is poised to advance to Attorney, with lateral options in business or corporate paths."
Ripperdoc,2,Intellectual,Underground Surgeon / Cyber-Implanter,,+1,,+2,+2,,,,,Admin 1; First-Aid 2; ScanLoc 2; Psychology 1; Streetwise 2; Focus 1; Pathology 1; Surgery 2; Cybernetics 2; Pistols 1; Psychiatry 1,ContCrimin+2; Sci:Biology,Cyberneticist,Doctor; Engineer; Drone Operator,,,,,"The Ripperdoc is an underground medical specialist who performs illegal surgeries and installs cybernetic implants, operating outside the bounds of licensed medicine. Evolving from Doctors, Guides, Paramedics, or Mechanics, they possess enhanced Intelligence and Education, along with Agility that aids in delicate surgical procedures. Their skillset blends medical expertise in first aid, surgery, pathology, psychiatry, and cybernetics with streetwise, psychology, and scanning, enabling them to treat patients in clandestine settings. They are also proficient in pistols, providing self-defense in a dangerous trade. Their connections to the criminal underworld and biological science foundations anchor them in the fringe of medicine. The Ripperdoc is the surgeon of the streets, with paths leading to the advanced role of Cyberneticist."
Scientist,2,Intellectual,Researcher / Experimental Specialist,,+1,,+2,+2,,,,,Admin 2; ScanLoc 2; Focus 2; Coding 2,Cont:Academ; Lng:Latin; Sci:+2,Theoreticist,Engineer,,,,,"The Scientist is a dedicated researcher who conducts experiments, analyzes data, and develops new theories in their field of specialization. Evolving from Science students or Engineers, they possess enhanced Agility, Intelligence, and Education, enabling them to conduct precise experiments and process complex information. Their skillset centers on administration, scanning, focus, and coding, providing the tools for rigorous scientific inquiry and simulation. Their connections to academic institutions, Latin proficiency, and scientific knowledge anchor them in the research community. The Scientist is the seeker of truth, with paths leading to the theoretical heights of the Theoreticist or lateral moves into engineering."
Blackguard,3,Armsman,Elite Shadow Operative / Corporate Enforcer,+2,+3,+3,,,,+1,,+2,First-Aid 2; Pistols 2; Rifles 3; Melee 2; Ordinance 2; Perception 2; Stealth 2; Survival 3; Tactics 3; Veteran 3; Honour 2,Trans:+2,,,,,,,"The Blackguard is the apex of the military and tactical armsman path, representing a highly trained operative who operates in the shadows for corporate interests or clandestine organizations. Having evolved from Commandos or Mercenaries, they combine elite combat proficiency with stealth and tactical genius. They are physically imposing with high Strength, Agility, and Endurance, making them nearly unstoppable in direct combat while remaining elusive enough to infiltrate secure facilities. Their skillset is a lethal blend of heavy weaponry mastery, advanced stealth, and survival tactics, allowing them to operate behind enemy lines for extended periods. Unlike standard soldiers, the Blackguard possesses a deep sense of Honor and Veteran experience, often serving as the final line of defense for high-value assets or the tip of the spear in covert operations."
Bounty Hunter,3,Armsman,Master Tracker / Legal Pursuer,+2,+3,+3,+2,+1,+2,,,+2,Admin 2; Bribe 2; Shadow 2; Interrogate 2; Pistols 3; Rifles 1; Melee 3; Perception 3; Veteran 2; Psychology 2; Streetwise 2,Kn:City; Trans+1,,,,,,,"The Bounty Hunter is a specialized hunter who has transcended the role of a simple tracker to become a master of pursuit and capture. Evolving from Hunters or Detectives, they combine high-level investigative skills with deadly combat prowess to track down fugitives across any terrain. Their physical stats reflect a rugged endurance and agility, essential for chasing targets through urban sprawls or wildlands. They excel in interrogation, psychology, and stealth, allowing them to outthink and outmaneuver their prey before engaging. With advanced skills in Pistols, Melee, and Shadowing, they are relentless forces of law and order (or vigilante justice) who leave no stone unturned in their quest for the catch."
Conspiracist,3,Armsman,Master of Secrets / Underground Intellect,,,,+3,+3,+2,+2,,,Admin 3; Perception 3; Psychology 2; Stealth 3; ScanLoc 2; Bribe 2; Coding 2; Lore 3; Shadow 3; Forgery 2; Disguise 2,Kn:Con.Theory,,,,,,,"The Conspiracist is a unique hybrid of intellectual and operative, dedicated to uncovering and manipulating the hidden threads of power that control society. Rising from Detectives or Hunters, they possess a mind sharpened by extreme Intelligence and Education, allowing them to decode complex patterns and forge alliances in the shadows. Their skillset is heavily focused on stealth, forgery, disguise, and coding, making them a ghost in the machine of modern espionage. They are not just observers but active participants in the grand game of conspiracy, using their administrative and psychological skills to influence events from behind the scenes. Their existence is defined by the pursuit of truth in a world built on lies."
Densetsushi,3,Armsman,Legendary Urban Warrior / Master Duelist,+2,+4,+3,,,,+2,+3,+4,Athletics 3; Intimidate 3; First-Aid 2; Gambling 2; Pistols 2; Rifles 2; Melee 3; Perception 3; Honour 2; Stealth 3; Streetwise 3; Veteran 3,Kn:City,,,,,,,"The Densetsushi is a mythical figure in the streets, a warrior whose reputation precedes them as a master of urban combat and martial arts. Evolving from City Ronins, they represent the peak of physical perfection in a cyberpunk setting, blending traditional samurai honor with modern street ruthlessness. Their stats are incredibly high across the board, particularly in Agility and Initiative, making them the fastest and most reactive fighters on the battlefield. They are masters of melee combat, athletics, and intimidation, capable of dismantling entire squads with precision and speed. Their presence commands respect and fear, embodying the spirit of the lone wolf who fights for honor amidst the chaos of the city."
Fukusho,3,Armsman,Second-in-Command / Elite Lieutenant,+2,+3,+2,+2,+2,,+2,+3,+3,Admin 2; Athletics 3; Intimidate 3; First-Aid 2; Persuade 2; Pistols 2; Rifles 2; Melee 3; Perception 3; Honour 3; Stealth 3; Veteran 3,Kn:City,,,,,,,"The Fukusho is the right hand of a crime lord or military commander, a trusted lieutenant who manages operations and leads troops with unwavering loyalty and competence. Emerging from Street Samurai or City Ronin paths, they possess a rare combination of high physical stats and strong leadership qualities. Their skillset emphasizes administration, persuasion, and tactical combat, allowing them to coordinate complex operations and maintain order within their ranks. They are experts in melee and stealth, capable of handling personal threats while overseeing broader strategic goals. The Fukusho is the backbone of any organization, ensuring that the vision of their leader is executed flawlessly."
Operator,3,Armsman,Special Forces Elite / Covert Action Specialist,+3,+3,+3,+2,,,+2,,+3,First-Aid 2; Pistols 3; Rifles 3; Melee 3; Ordinance 2; Perception 2; Stealth 3; Survival 2; Tactics 3; Veteran 3; Honour 2,Transp:+2,,,,,,,"The Operator is the pinnacle of special forces training, a highly versatile soldier capable of executing the most dangerous missions with precision and efficiency. Evolving from Commandos, Mercenaries, or Border Guards, they are the go-to asset for governments and corporations needing results without trace. Their physical attributes are maximized for combat, with high Strength, Agility, and Endurance, ensuring they can endure the harshest conditions. Their skillset is a comprehensive mix of firearms mastery, stealth, tactics, and survival, making them adaptable to any scenario. They are the silent professionals who operate in the gray areas of conflict, leaving no evidence behind."
Ranger,3,Armsman,Wilderness Guardian / Elite Scout,+2,+2,+3,,+2,,+2,,,First-Aid 2; Pistols 2; Rifles 4; Melee 2; Perception 3; Stealth 3; Survival 3; Veteran 2; Instinct 3; Honour 2,,,,,,,,"The Ranger is the supreme master of the wild, a guardian who protects the borders between civilization and nature. Evolving from Trackers or Survivalists, they possess an unparalleled connection to the environment, allowing them to move unseen and strike from the shadows. Their physical stats emphasize endurance and strength, essential for surviving in hostile terrains. Their skillset is dominated by rifle mastery, stealth, and survival instincts, making them the ultimate hunters and trackers. They are also skilled in first aid and honor, often acting as the moral compass for groups venturing into the unknown. The Ranger is a solitary figure, respected for their ability to tame the untamed."
Search & Rescue,3,Armsman,Elite Rescue Specialist / Disaster Response Expert,+1,+3,+2,+2,+2,,,,+2,First-Aid 2; Pistols 2; Rifles 3; Melee 2; ScanLoc 3; Perception 3; Survival 2; *VTOL 3; *Pilot 3; Trans:+ 3,Kn:City,,,,,,,"The Search & Rescue specialist is a hero of the emergency services, trained to locate and extract individuals from the most perilous situations imaginable. Evolving from Border Guards or Trackers, they combine high-level combat skills with advanced medical and rescue techniques. Their stats reflect a need for agility and endurance to navigate disaster zones, while their initiative ensures quick decision-making in life-or-death scenarios. They are proficient in a wide array of skills, including scanning, piloting VTOLs, and first aid, making them indispensable in crisis management. Their dedication to saving lives sets them apart from other combat-focused armsmen, driven by a profound sense of duty."
Terrorist,3,Armsman,Ideological Extremist / Asymmetric Warfare Expert,+2,+2,+2,+2,,+2,+3,+2,+3,ScanLoc 2; Electrical 3; Electronics 3; Ordinance 3; Rifle 2; Mechanical 2; Melee 2; Pistol 2; Veteran 3,Cont:*Crim+2; Bribe2,,,,,,,"The Terrorist is a radicalized operative who uses fear and violence as tools to achieve political or ideological ends. Evolving from Bombers or Commandos, they are masters of explosives, electronics, and asymmetric warfare. Their stats emphasize mental fortitude and physical agility, allowing them to execute complex attacks and evade capture. Their skillset is focused on ordnance, electrical engineering, and tactics, enabling them to create devastating devices and coordinate attacks. They are often driven by a strong will and charisma, able to inspire others to their cause. The Terrorist represents the dark side of revolutionary fervor, willing to sacrifice everything for their vision."
Union Agent,3,Armsman,Labor Organizer / Industrial Defender,,+2,,+3,+3,+2,,,+2,Admin 3; Bureaucracy 2; Interrogate 3; Pistols 3; Rifles 2; Melee 2; Perception 3; ScanLoc 2; Psychology 3; Streetwise 2; Veteran 2,Kn:City; Drive,,,,,,,"The Union Agent is a fierce advocate for workers' rights, combining combat skills with bureaucratic expertise to protect laborers from corporate exploitation. Evolving from Detectives or Guards, they are skilled in negotiation, interrogation, and tactical combat. Their stats reflect a balance of physical strength and mental acuity, essential for navigating both the picket line and the boardroom. They are proficient in firearms, melee, and psychology, allowing them to defend their constituents effectively. Their administrative and bureaucracy skills enable them to organize strikes and negotiate contracts, making them a formidable force in the industrial landscape."
Warden,3,Armsman,Prison Overseer / Supernatural Custodian,+2,+3,+3,+2,+2,+2,+2,,+2,Admin 2; Lore 3; Shadow 2; Interrogate 2; Disguise 2; Pistols 3; Ritual 3; Melee 3; Perception 3; Thief 2; Persuade 2; Psychology 2; Stealth 3; Veteran 3,Cont:+2,,,,,,,"The Warden is a formidable keeper of order, responsible for managing high-security prisons or containing supernatural threats. Evolving from Hunters or Detectives, they possess a unique blend of combat, psychological, and ritualistic skills. Their stats emphasize physical strength and mental fortitude, allowing them to maintain control over dangerous inmates or entities. They are skilled in interrogation, stealth, and lore, enabling them to uncover secrets and prevent escapes. Their authority is absolute, backed by a deep understanding of human nature and the arcane. The Warden is a figure of immense responsibility, tasked with keeping the darkness at bay."
Exorcist,3,Channeler,Divine Purifier / Spirit Banisher,,,+2,+2,+3,+2,+3,+3,,Admin 3; Chan:Cath 3; Focus 3; Honour 3; Perception 2; Lore 2; Persuade 2; Ritual 3,Cont:Catholic; Lng:Add1; Lng:Latin,,,,,,,"The Exorcist is a holy warrior dedicated to cleansing the world of demonic and spiritual corruption. Evolving from Priests, they possess a deep connection to the divine, bolstered by high Willpower and Essence. Their skillset is focused on rituals, lore, and honor, allowing them to perform powerful banishments and exorcisms. They are skilled in administration and perception, enabling them to identify possessed individuals and navigate the complexities of religious institutions. Their presence brings hope to the afflicted and fear to the malevolent spirits they hunt. The Exorcist is a beacon of light in a world threatened by the darkness of the supernatural."
High Priestess,3,Channeler,Wiccan Matriarch / Spiritual Leader,,+1,+2,+3,+2,+2,+3,+3,,Admin 3; Focus 3; Intimidate 2; Chan:Wiccan 3; Lore 3; Persuade 2; Ritual 3; Streetwise 1; Perception 2,Cont:Wiccan; Lng:Add1; Lng:Latin,,,,,,,"The High Priestess is the matriarch of the Wiccan faith, a spiritual leader who guides her followers through the cycles of nature and magic. Evolving from Witches, she possesses immense wisdom and magical power, reflected in her high Intelligence, Willpower, and Essence. Her skillset is centered on ritual, lore, and persuasion, allowing her to lead ceremonies and teach the ways of the craft. She is also skilled in intimidation and streetwise, enabling her to protect her coven from external threats. The High Priestess is a figure of reverence and power, embodying the divine feminine and the mysteries of the earth."
Houngan/Mambo,3,Channeler,Vodou High Priest / Spiritual Healer,+1,+1,+2,+3,+2,+3,+2,+3,,Lore 3; Focus 3; Intimidate 2; Chan:Voodoo 3; Persuade 2; Ritual 3; Streetwise 1; Perception 2,Cont:Voodoo; Lng:+1; Lng:Latin,,,,,,,"The Houngan or Mambo is a revered leader in the Vodou tradition, a spiritual healer and medium who bridges the gap between the living and the spirits. Evolving from Hounsi, they possess deep knowledge of Vodou rituals and lore, supported by high Charisma and Intelligence. Their skillset is focused on ritual, persuasion, and intimidation, allowing them to command the loa and guide their community. They are also skilled in streetwise and perception, enabling them to navigate the complexities of the human spirit. The Houngans/Mambo is a pillar of their community, offering healing, guidance, and protection from the forces of evil."
Magician,3,Channeler,Hermetic Archmage / Master of Magic,,+1,+2,+3,+3,+3,+2,+3,,Admin 2; Chan:Herm 3; Focus 3; Thief 2; Psychology 3; Lore 3; Persuade 3; Ritual 3; Intimidate 2; Streetwise 3; Perception 2,Cont:Hermetic; Lng:+1,,,,,,,"The Magician is the apex of Hermetic magic, a master of the arcane arts who has unlocked the deepest secrets of the universe. Evolving from Street Mages, they possess immense magical power, reflected in their high Intelligence, Education, and Essence. Their skillset is focused on ritual, lore, and persuasion, allowing them to perform complex spells and manipulate reality. They are also skilled in theft and streetwise, enabling them to acquire rare magical components and navigate the underworld. The Magician is a figure of mystery and power, wielding magic with precision and wisdom."
Monk,3,Channeler,Ascetic Warrior / Physical Perfectionist,+3,+3,+3,+1,+1,,+3,+3,+3,Athletics 3; Chan:Phys 3; Focus 3; First-Aid 2; Instinct 2; Melee 3; Lore 2; Stealth 3; Perception 3; Ritual 2; Survival 2; Honour 3,,,,,,,,"The Monk is a master of physical and spiritual discipline, achieving a state of perfection through rigorous training and meditation. Evolving from Adepts, they possess incredible physical stats, particularly in Strength, Agility, and Endurance, reflecting their mastery of the body. Their skillset is focused on melee combat, athletics, and channeling physical energy, allowing them to fight with supernatural speed and power. They are also skilled in lore and honor, embodying the virtues of their order. The Monk is a living weapon, a testament to the power of the human spirit when unleashed from worldly constraints."
Possessing Spirit,3,Channeler,Incarnate Entity / Possession Master,,,,,,,,,,Admin 1; Chan:Spirit 2; Focus 2; Discipline 0; Lore 1; Persuade 0; Ritual 2; Intimidate 0,,,,,,,,"The Possessing Spirit is a unique entity that exists beyond the physical realm, capable of inhabiting and controlling bodies. Unlike other channelers, they have no physical stats, relying entirely on their spiritual essence and mental power. Their skillset is focused on channeling spirit energy, rituals, and discipline, allowing them to possess hosts and manipulate the material world. They are skilled in lore and persuasion, enabling them to communicate with the living and guide their actions. The Possessing Spirit is a mysterious and powerful force, a reminder of the thin veil between life and death."
Psychic,3,Channeler,Master Telepath / Mental Seer,+1,+1,+1,+2,+2,+3,+3,+3,,Admin 2; Focus 3; First-Aid 2; Instinct 2; Lore 3; Perception 2; Ritual 2; Chan:Mental 3,,,,,,,,"The Psychic is a master of the mind, possessing extraordinary mental abilities that allow them to perceive and manipulate thoughts and emotions. Evolving from Mediums, they have high Intelligence, Charisma, and Willpower, reflecting their mental prowess. Their skillset is focused on channeling mental energy, rituals, and perception, enabling them to read minds, predict the future, and influence others. They are also skilled in lore and first aid, allowing them to heal mental wounds and understand the workings of the psyche. The Psychic is a window into the soul, revealing the hidden truths of the human mind."
